CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				Slide2_020818_89	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.174	47.031	15.332	15	101	13.756	6.465	13.756	6.478	8.187	45	20976
				Slide2_020818_90	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.174	61.706	17.196	22	127	13.756	6.465	13.756	6.47	10.742	59	27521
12	G1	M		Slide2_020818_91	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.429	76.495	66.176	8	255	5.013	15.994	5.403	16.326	721.285	51	1847975
				Slide2_020818_92	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.429	48.89	14.777	9	136	5.013	15.994	5.064	16.025	460.988	47	1181080
				Slide2_020818_93	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.18	215.576	46.279	49	255	5.94	16.732	5.958	16.735	254.36	234	651686
				Slide2_020818_94	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.18	54.765	14.824	18	122	5.94	16.732	5.934	16.723	64.618	54	165556
				Slide2_020818_95	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.276	41.19	15.639	11	102	4.008	16.419	4.027	16.428	11.35	39	29080
				Slide2_020818_96	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.276	51.013	14.605	19	110	4.008	16.419	4.015	16.419	14.057	49	36015
13	G1	M	1	Slide2_020818_97	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.186	83.996	73.646	8	255	6.047	12.731	6.117	12.557	519.572	52	1331174
				Slide2_020818_98	1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.186	50.451	16.231	12	138	6.047	12.632	6.064	12.598	312.074	49	799552
				Slide2_020818_99	1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.676	246.601	21.416	102	255	6.148	12.192	6.148	12.197	166.61	255	426866
				Slide2_020818_100	1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.676	64.817	16.87	25	138	6.148	12.192	6.152	12.193	43.792	63	112199
				Slide2_020818_101	1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.116	45.46	13.266	18	99	6.847	13.492	6.846	13.49	5.288	45	13547
